127.0.0.1 - - [12/Apr/2023:11:54:45 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:54:49 +0900] "GET /yist/ HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [12/Apr/2023:11:54:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Apr/2023:12:04:12 +0900] "GET /yist/ HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Apr/2023:12:04:12 +0900] "GET /yist/ HTTP/1.1" 200 1953
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:36:58 +0900] "GET /yist/ HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:38:26 +0900] "GET /yist/ HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:38:48 +0900] "GET /yist/ HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:38:49 +0900] "GET /yist/ HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:39:05 +0900] "GET /yist/ HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:39:05 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:39:05 +0900] "GET /yist/ HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:39:05 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:39:14 +0900] "GET /yist/ HTTP/1.1" 200 1550
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:39:14 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:39:25 +0900] "GET /yist/ HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:39:25 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:43:35 +0900] "GET /yist/ HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:43:35 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:43:36 +0900] "GET /yist/ HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:43:36 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:43:48 +0900] "GET /yist/ HTTP/1.1" 200 1785
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:43:48 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:44:10 +0900] "GET /yist/ HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:44:10 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:44:11 +0900] "GET /yist/ HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:44:11 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:44:21 +0900] "GET /yist/ HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:44:21 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:45:19 +0900] "GET /yist/ HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:45:19 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:45:19 +0900] "GET /yist/ HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:45:19 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:45:22 +0900] "GET /yist/ HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:45:22 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:45:22 +0900] "GET /yist/ HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:45:22 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:26 +0900] "GET /yist/ HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:26 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:30 +0900] "GET /yist/ HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:30 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:30 +0900] "GET /yist/ HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:30 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:30 +0900] "GET /yist/ HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:31 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:31 +0900] "GET /yist/ HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:31 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:40 +0900] "GET /yist/ HTTP/1.1" 200 1926
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:40 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:42 +0900] "GET /yist/ HTTP/1.1" 200 1926
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:42 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:47:43 +0900] "GET /yist/www.naver.com HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:48:34 +0900] "GET /yist/ HTTP/1.1" 200 1924
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:48:34 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:49:53 +0900] "GET /yist/ HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:49:53 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:49:53 +0900] "GET /yist/ HTTP/1.1" 200 1899
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:49:53 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:50:52 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:50:52 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:05 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:05 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:05 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:05 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:05 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:06 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:06 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:06 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:06 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:06 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:06 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:06 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:06 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:07 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:07 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:07 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:07 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:07 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:22 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:22 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:56 +0900] "GET /yist/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:56 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:57 +0900] "GET /yist/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:51:57 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:52:17 +0900] "GET /yist/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:52:17 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:52:17 +0900] "GET /yist/ HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:52:17 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:52:27 +0900] "GET /yist/ HTTP/1.1" 200 1909
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:52:27 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:52:56 +0900] "GET /yist/ HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:52:56 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:02 +0900] "GET /yist/ HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:02 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:02 +0900] "GET /yist/ HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:02 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:15 +0900] "GET /yist/ HTTP/1.1" 200 1945
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:15 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:33 +0900] "GET /yist/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:33 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:39 +0900] "GET /yist/ HTTP/1.1" 200 1973
0:0:0:0:0:0:0:1 - - [12/Apr/2023:14:53:39 +0900] "GET /images/sub_tit_zigzag.png HTTP/1.1" 404 836
